,HTLC,FEE_BASE,FEE_RATE
03e3a316db3f5fcb614af846edab9a4a73f58fa3eec24c6276bb5fe34ee64ddd5a,"['1', '1', '1', '1']","['10', '10', '10', '10']","['1', '1', '1', '1']"
03b8e5d52ce53d42bc5711a735be6bf489cb423d411b9c6df4f6ae0022a8459b82,['1000'],['1000'],['1']
037c40292b782d88256020cebc3a92aeef7fe28cca5852689ff453eee66f2d8158,['1000'],['1000'],['1']
03c5b8b1ff97d9db7f8aa9208cce8607baaf31bb90b84fd48718f936f050d7980a,['1000'],['1000'],['1']
0384a8884d0bf7525cc387884fc38ddf0e388b342ce4cd35335772259ba905a5df,['1'],['1000'],['1']
03fb5cf33d81058e1d3982306045ffced9c6a627a0421b955d4176cb3647363e1f,"['1000', '1000', '1000']","['1000', '1000', '1000']","['1', '1', '1']"
03fe758da6821fb5ce47061de9169d01326ab42ce0b5d109e4a07afc416dc16d86,['1'],['1000'],['1']
03c519c0f2ba26c6987b7741a62fca255ceea933a88b2b19e9c69da7689a533a01,['1'],['950'],['1']
03938ae48638c0f48560d82ae514a61c59343b404be24ab2fd644af72ff89f136c,"['1000', '1000']","['0', '1000']","['0', '1']"
033932e67b83d871a347b9ba5943ca3db13aceee4b0942d907b261e3f45d7c2caf,['1000'],['0'],['0']
03c8b047beb36f0d73059d3107572bf3510d2b1e0995c07c93e3513fcded070b4d,['1000'],['0'],['0']
03234b513df46c1155db9f69d7601d695d7edff25890f6139ff85b562679d47e97,['1000'],['0'],['0']
02ea7041bbf0f1bc740109baa8d0080a4b1e5ab4f6ba78c187e752de2a14443ff9,['1000'],['0'],['0']
03819ceb39656aabe50528ae0844b2eea996294f02adc0e6665ae9e0de50612897,['1000'],['0'],['0']
03bdf340a72ac8dc6f1d0471d85aed08ae2479ce78407a00c69ad506af2d62844a,['1000'],['0'],['0']
038ce2a7da89b36479e3635a280e9bd2c30582abf86873fc75dd329000eff0bf06,['1000'],['0'],['0']
02a82a8c2cc68bbe62064c38c9cb9f3b5847939e321c08fd3f0865d46f2e1489c8,['1000'],['0'],['0']
02fcae174ed6565722bd6dd3c0ee20c870c3b4902cef20de0f7ca61e1baee85bb3,['1000'],['0'],['0']
0310a789032cb05720d9076eb6a26846b89ec772578fa80dfb197c31c7499b8306,['1000'],['0'],['0']
034c8984cb481bc98a15eca9d0e5a302aed517f0e81550b64a2a439267dd40252a,['1000'],['0'],['0']
03a44410fdef6415af52b245cb91b7b78010a395d5f72c80f29c7f2d82c1f5f2a3,['1000'],['0'],['0']
03aefbdce447c4c1d4be9ef7472ed04d50dffc8eff5119d15efce88aae904e37d9,['1000'],['0'],['0']
035bb5f5ae3999045a7e201d45ea60114becc3bd63c47202c3fd9d9c25f7259f96,['1000'],['0'],['1']
03ac534d5493b6421db246e34eba7730c42eca79cb3aaf08e0a6082c7bca8187bc,['1000'],['0'],['1']
034c98bfcd5915f4875b5450bec409f02ec557b6c223962a634dbfafce6e43726d,['1000'],['0'],['1']
038f81a74483a45b88559f9da1cd3003a3b1bcc55f71404bce445c8fe9723a5981,['1000'],['0'],['1']
02c5f4b8146c2ada4493df6ade9398e2ec4bc450279a0b7890b55fddb62c718563,['1000'],['0'],['1']
036fdb56cf58076c84f34fcee7d4d7bf56c2c98d275fd4bfce980632db5bee8bfe,['1000'],['0'],['1']
0397c3472c5d31e630afb1de329982506d55b196b9ee86045cb790aaf9fa6800c2,['1000'],['0'],['1']
0381598565da2d4cf13a469cfc1ccbe34e5ebd680c01d9e192d3303ed6bcdf384f,['1000'],['0'],['1']
032ece91b30ab6d1b2f4fb40201245ce3c773a94b8b6170721b1da2ce19f1df0a6,['1000'],['0'],['1']
031b0996b4e6ef795790179f39c9cf8c51b1a6ce0d2b41fefd9aaea0051033e70e,['1000'],['0'],['1']
03c39451a31a146b57d99a437028eb93e89382f2e3132a71f941fb00fbf0bed7bc,['1000'],['0'],['1']
032d51a68a98bc6a9be2a41cfa2fef785fc88cb22c1d30705601f475d072c94893,['1000'],['0'],['1']
03a9f1b788e102958df2201e49317b9fad350e2a36401174f5bafca8a6a4e05b04,['1000'],['0'],['1']
